id,love,joy,surprise,anger,sadness,fear,comment
1086586,,,,,,,"This is default for staging in hadoop 1

<property>
  <name>mapreduce.jobtracker.staging.root.dir</name>
  <value>${hadoop.tmp.dir}/mapred/staging</value>
  <description>The root of the staging area for users' job files
  In practice, this should be the directory where users' home 
  directories are located (usually /user)
  </description>
</property>
"
908835,,,,,,,"Here's a potential fix for this. close() and hflush() now may throw InterruptedIOException if the thread has interrupt status. It's a bit tricky because they won't *always* throw it - if they weren't going to block, they will return immediately (with interrupt status preserved)"
410412,,x,,,,,"Looks good, thanks!"
1591920,,,,,,,Closing all resolved tickets from 2010 or older
917910,,,,,,,Created HADOOP-6281.
328733,,,,,,,Changes committed with revision: d3a9688d00bd520dc1c9b3a40b229aa9b10c87f0
1534433,,,,,,,"I was actually trying to debug the issue and didn't see anything that looked like it would nuke the DataMap/DataNode under the DataDomain and was wondering if it was a visual issue, but didn't try saving the model to see if it had actually deleted it.  Something about all that information disappearing was unsettling.  This is definitely a post 1.2 thing, I think.

Thanks!
"
1482045,,,,,x,,"Thanks Andreas, patch applied to HEAD of CVS only. Please check and then close
this bug report.

You allude to other issues with the Sitebuilder app. Would you please add a new
bug report with whatever hints that you can manage. Then others can follow up.

p.s. It must have been my mistake with the patch format. Using gunzip did
finally work. Sorry to waste your time. 
--David"
1423285,x,,,,,,"Thanks for taking the time out to review the patch, Bryan. Yes, the patch is ready for commit unless someone else is reviewing it too. Thanks again."
394234,,,,,,,"Hi Guillaume,

I think that what you are saying is right and i find ( despite is on the specification or not ) that to have the error status
is quite useful.

But i don't agree that if InOnly MEP terminate with an ERROR status it should propagated back.

I agree totally with Gianfranco this should be done only when we're working in sync mode, otherwise it's better not 
to propagate the error back and use feature like restart from the failure point, that we've just implemeted.

Do you agree with this??

Andrea "
1540430,,,,,,,The mutateLevel problem looks like what I predicted -- Windows won't let you rename over an existing file.
1630930,,,,,,,"I've done some modifications and checked with valgrind and reduce around 6000 bytes of a loss with echo sample.
regs
lahiru"
374731,,,,,,,"This is something that some people have asked for since my CNET days...  I thought there was already an open issue for this, but I can't seem to find it (so I guess not!)"
304537,x,,,,,,"Hi [~wikimore], [~michaelstockton], or any other Ruby user: I'd really like to commit that, but I need someone of you to review and confirm before. So if you want this being part of the next release .... thank you!

"
1177863,x,,,,,,"Hi Ivan,
    As Donald has reassigned this JIRA to you, please help to review and commit these patches after I submit the patch for TranQL localization. Thanks. BTW, the first patch in the list had already been committed."
1633473,,,,,,,What is interesting here is that the OOM error already occurs while processing the SOAP part of the message and not while accessing the attachment part (as one would expect). What is the stack trace that you get with Axis2 1.6.1 and Axiom 1.2.12?
1069105,,,,,x,,"Sorry, I clicked the ""submit"" too quickly, the revision number is r501311."
533732,x,,,,,,"Ray, Jacoo,

I finally commited it in revision: 485087.

Thanks
"
181007,,x,,,,,"Hi Thiwanka,

I assume you're referring to this code which checks the character offset and produces progress events if the XMLLocator has advanced at least 2K:

    public void startElement (QName element, XMLAttributes attributes, Augmentations augs) throws XNIException {
        if(locator.getCharacterOffset() == 0) {
            reportProgressEvents();
            nextCharOffset += 2048;
        }else if(locator.getCharacterOffset() > nextCharOffset) {
            reportProgressEvents();
            nextCharOffset += 2048;
        }
        
        //Call the AbstractDOMParser.startElement()
        super.startElement(element, attributes, augs);
    } 

That looks fine to me.

Just mentioned this to Ishara... In future it would be easier to review changes if you created a patch (e.g. diff -u) which shows the differences between the previous version. Generally also better to add source files as an attachment to the JIRA issue rather than including it directly as a comment. This makes it easier to review and apply to the codebase.

Thanks.
"
1201077,,,,,,,"(In reply to comment #29)
> (In reply to comment #28)
> > Created an attachment (id=19576) [edit] [edit]
> > main patch file
> > 
> 
> I'v had problems again applying the patch: something went wrong with FontSetup,
> looks like the patch wants to remove this file entirely, which I don't think
> should be the case.

Hmm..  not sure quite why that happened.

> Also, why did you change the DEFAULT_STRICT_FO_VALIDATION constant into
> DEFAULT_STRICT_VALIDATION? I think it would be clearer to leave it as is.

Have done."
1153468,x,,,,,,"I just committed this.  Thanks, Raghu!"
1194795,,,,,,,"I'm moving this to 0.6, as I really can't stand to release with this.
If this becomes too long, we can move it again to 0.7."
1526436,,,,,,,"I did it works fine with 2.1 and iOS6.

Thanks!

Dominic



"
209194,x,x,,,,,"Sorry, the above test doesn't work correctly (apart from the syntax error because of the missing ')' at the end of the req.addFile-lines ).
ServletFileUpload.isMultipartContent( req ) resolves to ""false"" even after adding
req.addHeader(""Content-type"", ""multipart/form-data"");
req.setMethod(""POST"");

I don't know more, yet."
825341,,,,,,,Committed. Thanks Gang Tim Liu
344741,,,,,,,Patch attached.
744007,,,,,,,"[~mbo], yes & yes, IMHO."
916806,,,,,x,,"Hi Lars. Sorry, I wasn't watching this before so I missed your work til you mentioned it on the HBase JIRA. I'll try to take a look at this this week. Feel free to grab me on IRC if you have specific questions."
1378438,x,,,,,,"Thanks for the new patch, Kristian! The changes look good to me. +1 to commit.

A tiny nit in StatementPoolingTest; the code below could be expressed with an assertEquals now that there's only one condition:

         if (!simpleName.equals(expectedName)) {
-            if (!simpleName.equals(expectedName + ""40"")) {
-                fail(""Expected class name "" + expectedName + "" or "" +
-                        expectedName + ""40, got "" + simpleName);
-            }
+            fail(""Expected class name "" + expectedName + "", got "" +
+                    simpleName);
         }"
1407085,,,,,,,"Knut Anders, thanks for the review and the good advice.

The attached patch, rmTestPreparedStatementMethods_v2.diff, should address your comments."
1061050,,,,,,,"VM behaves like BEA, but not as RI.
It seems that RI checks method name 2 times and 2 times runs through constant pool.
I suppose that first time it runs through constant pool just after parsing and second time before verifying.
The first check is obligatory and the second only if -Xverify is on. It looks like code is duplicated.
Now our vm makes check after parsing and only if -Xverify is on. 

I suppose to leave it as it is or make method name check independently of -Xverify flag."
1698547,,,,,,,Resolved in trunk.  There were two places where the ack message was getting the Destination from the Message assigned to it instead of the Destination from the MessageDispatch command.
699444,x,,,,,,"Thanks, patch applied.
"
988456,,,,,,,What I'm committing... wraps a very long line else what Matteo suppied.
627389,,,,,,,Ported to trunk
1207220,x,,,,,,"Committed, rev:088067c. Thanks Roman!"
1049620,,,,,,,"I don't understand why we need these methods, since they are inherited from InetAddress, so we are compliant with the spec.
"
689755,,,,,,,Attached patch.  I plan to commit in a day or two.
352106,,,,,,,"Committed revision 1504570.
Committed revision 1504596.
Committed revision 1504597.
"
1101131,,,,,,,"> If it's windows and it's a local filesystem URI, do the os-specific subbing.

You can't always tell whether it's a local filesystem URI.  Lots of relative paths are constructed that do not contain a scheme."
1064554,,x,,,,,"Good ideas, thanks Alexey.

I've updated the test patch.
"
1391491,,,,,x,,"Sorry for the noise, I forgot to grant the license to previous attachment for inclusion in ASF works.
Thanks"
752811,,,,,,,fixed. Committed revision 797662.
1213449,,,,,,,This isn't a bug. These tests are outdated and it was unclear that they were useful. They have Junit @Ignore annotations that cause them to be skipped (on purpose).
370399,,,,,,,"Hi Tommaso,

bq. However I think it should be good if it was possible to alternatively get rid of the uimaConfig file defining each parameter inside the Processor with Solr elements (str/lst/int etc.) as well.

I've done this in the attached patch. Please review it. I'm not confident about the part:

{code}
<lst name=""fieldMappings"">
  <lst name=""mapping"">
    <str name=""type"">org.apache.uima.SentenceAnnotation</str>
    <str name=""feature"">coveredText</str>
    <str name=""field"">sentence</str>
  </lst>
</lst>
{code}

the structure is appropriate or not."
1205126,,,,,,,add keyword [PATCH] to description.
280617,,,,,,,"The diffs look good to me, but it sounds like this only solves part of hte problems, so we should probably file another bug to get the mgmt GUI 100% functional (for 2.1 maybe?)."
601144,,,,,,,"Thanks for the patch Daryn,

+1

I put it into trunk, branch-2, and branch-0.23"
1558937,x,,,,,,"committed, thanks!"
830148,x,,,,,,"Committed, thanks Jingwei."
1161944,,,,,,,I just committed this.  I changed it so that Mapper and Reducer extend a Closeable interface rather than both providing a close() method directly.
370312,,,,,,,see also SOLR-2399 -- this has done some great work revamping the admin UI
1207857,,x,,,,,"I think you should get rid of the open-ended version spec [1.2,) as it occasionally screws things up by bringing in snapshots or non-working code. Otherwise, to my eyes, it looks good."
765985,,,,,,,Please submit an diff against the v2.3.1 branch.
1071794,,x,,,,,"Works for me. 
Thank you Paulex."
218325,x,,,,,,"My apologies - I submitted the wrong patch file. I've checked the trunk and what you applied is correct so I won't re submit. Thanks for covering my sloppiness.
"
1201074,x,,,,,,"Hi Vincent,

Thanks very much for taking the time to look closely at my patch.

(In reply to comment #26)
> (In reply to comment #24)
> > (In reply to comment #23)
> > > Adrian, thanks for doing this! I've looked at the patch and have a few
comments
> > > myself:
> > > - I'd suggest to rename ""strict-configuration"" to ""validate-configuration""
(just
> > > a personal preference).
> > 
> > The configuration will still be validated regardless of the setting of this
> > variable.  Its just how the error is handled that makes the difference.  If
> > ""strict-configuration"" is true then FOP will immediately throw an exception and
> > processing will terminate.  If ""strict-configuration"" is set to false then FOP
> > will log the error and attempt to continue parsing the configuration (if
> > possible/meaningful).
> > 
> > > - the name of the variable ""strictFO"" in FopFactory.configure(Configuration)
> > > seems wrong. There's nothing ""FO"" specific there. Furthermore, some ""if
> > > (strictFO)"" should actually be ""if (strictConfig)"", right?
> > 
> > I think you may have been looking at an older patch.  The variable
> > ""strictValidation"" is as before and the new variable is called
> > ""strictUserConfigValidation"".
> 
> No, Jeremias is right actually. There are 'if (strictFO)' statements to test if  
> an exception has to be thrown. That should be 'if 
> (validateUserConfigStrictly())'. I should have better looked.

Darn it..  I didn't think Jeremias was refering to the configure method.  I
missed this, thanks.

> Also, in the new code a HyphenationTreeResolver is no longer created and 
> assigned to the hyphResolver field. That should inevitably lead to 
> a NullPointerException later, however the hyphenation junit tests pass. Strange. 
> Are you sure of what you're doing?

Thanks for checking this, I made a mistake refactoring here :-(.

> One other thing: when getting the default-page-settings parameter it's not 
> necessary to test if pageConfig is null; it will never be. See the javadoc of 
> getChild.

I've read the javadoc and have simplified/removed this unnecessary check now.

> >  
> > > Adrian, would you please install the CheckStyle plug-in in your IDE? There
are a
> > > few nits about the Java style in your patch. Checkstyle will help you find
them.
> 
> Something checkstyle doesn't seem to be catching: we usually don't put spaces 
> inside brackets: if (test) instead of if ( test ).

Yes I have noticed this recently and believe all the code I've added adheres to
this now.

> > > 
> > > Get well quickly, Adrian!
> > 
> > After a weekend in bed am feeling much better today thanks.  I had installed
> > checksytle but not enabled it! ;-(  I will recreate the patch this morning.
> 
> Hope you feel better now!
> 
> Sorry, I'll ask you to create yet another patch, but that should really be the 
> last one!

Its ok, I am learning all the bumps for fop patch submissions - hopefully should
be smoother for you guys next time :-).

Kind regards,

Adrian."
1517029,,,,,,,Plugman seems to not honour the npm proxy in fact. That's the problem.
1611685,,x,,,,,"new patch looks good to me, +1"
401129,x,,,,,,"Guillaume,

I took a quick look at your suggestions.

I agree that we can reduce the code a bit.  However, I think that we need to keep the activate method as it initializes the servingXml internals.   I'm not sure about the deactivate method.

I also noticed that you have added a patch, but, being new to jira, I'm not sure if that means that you've made changes to my attachment or something else.

Are you still looking for me to correct the formatting and to remove the extraneous methods/classes?

Thanks,
James"
1328353,,x,,,,,"Agreed, the current behavior is incorrect, I just didn't want you disappointed. :-)

If you create your singleton jira patch before this one is applied, then just include them together and close this bug.

I agree that commit rights would make this simpler and supplying patches is the primary way to gain commit rights, so you are on the right path regardless what happens with Pax Web. :-)"
164186,x,,,,,,Thanks [~ajisakaa].  +1 pending jenkins.
1180530,x,,,,,,A patch for this. Thanks a lot.
919121,,,,,,,"# In DataStorage.linkAllBlocks() you commented our the {{toDir.mkdir()}} part. You probably wanted to remove it.
# I would avoid all spelling, formatting, commenting, empty line changes, because they will make merging hard.
# Don't think introducing {{FINALIZED_DIR_NAME}} in {{MiniDFSCluster}} is a good idea. It is better than what we have now - a plain string {{current}}. {{DataStorage}} is a public class, we should rather add a public static method to it {{getFinalizedDirectoryName()}}. Then ""finalized"" will defined only in one place."
704476,,,,,,,"Created an attachment (id=17581)
Patch for build.xml to add index=""true"" for jar tasks
"
817418,,,,,,,[~brocknoland] Did this not patch?
830192,x,,,,,,"Committed, thanks Sambavi."
1126848,,x,,,,,"We ran gridmix just to be sure that the performance is not hit huge because of the locking business. And the results turned out to be in the same range of 2700-2800 secs of our previous runs of FairScheduler without this patch.

I also had a look at the patch. Looks good. +1."
904326,,,,,,,"Thanks a ton for your review, Todd. Here's an updated patch which addresses all of your comments except the following.

bq. In EditLogFileInputStream, why do we need to pass isInProgress as a boolean? If it's in-progress, that means we don't know the lastTxId, so it would be INVALID_TXID, right? So we can implement isInProgress() by just comparing lastTxId.

Because in the case of pre-transactional ELFIS, we pass in INVALID_TXID, even though the log is not yet in progress.

I'm still working on producing an updated patch which also adds testing for the pending DN message queues."
180844,,,,,x,,"Oops, sorry. Certainly right."
598942,x,,,,,,Committed to branch-2 and trunk. Thanks Ahmed!
1585869,,x,,,,,"I agree, that's a good idea."
613634,,x,,,,,+1 looks good to me. Trying it out.
686161,,x,,,,,"Simon, thanks, please commit this :)
"
464920,,,,,,,Review board comment: https://reviews.apache.org/r/314/
1143171,x,,,,,,I committed the patch to trunk. Could you please submit a patch for the 0.16 branch. This one doesn't apply cleanly. Thanks!
1132533,,,,,,,Submitting to Hudson again. It didn't run the first time.
213914,,,,,,,"It still need a lot of work, but there's an initial version checked into the sandbox now. 

 * http://svn.apache.org/viewvc/struts/sandbox/trunk/jpa-mailreader/

See STATUS.txt for design notes and such. 

"
970976,,,,,,,"Sorry, just read an article, the self time may not accurate in sampling result, as the modern JVM will optimize the function call as inlined.

But from the sampling call graph, it may tells the ConcurrentHashMap.get() is one of the hotspots, and that may also explains why the patch reduced the overhead."
1445959,,,,,x,,I misread the original description.
1332701,,,,,,,"Applied, thanks."
1722008,x,,,,,,Committed. Thanks!
174742,,x,,,,,+1 23 patch changes look trivial.  Thanks!
1719017,,x,,,,,+1 looks good.
1074169,x,,,,,,"Thanks for the patch Richard.

Applied to LUNI module at repo revision r418009.

Please check that the patch was applied as you expected.

"
678686,,,,,,,"Ported back to 3.x

Committed revision 991537."
1566287,,x,,,,,This looks good to me.
453939,,x,,,,,"Wow, fast. Thanks!"
1192187,x,,,,,,"Thanks for applying the images. 

Please check and apply the patch I've submitted to FOR-1008 [1]. Since the changes required to resolve this issue involves files modified there, it has to be applied first.

[1] https://issues.apache.org/jira/secure/attachment/12363540/valid_xdoc.patch"
175684,x,,,,,,Will review by EOD today. Thanks for the tip.
565199,x,,,,,,"
Hi Luca,

I've applied the changes you mentioned and it worked fine on my end (Windows).

Can you try this on your end as well? I've attached the patch.

Thanks!"
943989,,x,,,,,Looks like the 0.95 issues are timeout related...should be good to go.
1170628,,,,,,,"this patch is for /branches/2.0.2/plugins/org.apache.geronimo.st.v11.ui/src/org/apache/geronimo/st/v11/ui/sections/CommonGeneralSection.java,thanks."
337647,,,,,,,"Created an attachment (id=293)
Trivial patch that fixes this bug
"
1562176,x,,,,,,The v4 changes look good. Thanks
813418,x,,,,,,"Committed to trunk. Thanks, Prasanth!"
1388894,,,,,,,"Dag commented (6/30/2011) on the commit of revision 1141368 - apparently replies on the commit messages don't make it back into JIRA, so just for the record, here is that comment:
""I didn't follow this one, but I notice setUp and teardown do not call
super.setUp, super.tearDown respectively as per the idiom. Is there a
reason for this here?  Notably BaseJDBCTestCase#tearDown does some
cleaning up. It may not be required here, but it's generally good to
stick to the idiom.""

Houx Zhang replied: ""Yes, Dag. I agree with you, and will adopt it.""

Looks like Bryan already added super.teardown with revision 1141769.
"
864344,,,,,,,the mirror.facebook.com/hive site was already taken offlne.
199420,,,,,,,"Created an attachment (id=356)
XML parsing tool.
"
451089,,,,,x,,"sorry, should be:
path -p6 < pluto-1.1.0-taglib-el.diff"
349073,x,,,,,,Patch committed. Thanks Jarek!
1064238,,x,,,,,"Well, the fix looks good enough. Seems there is a lot of dead or half-broken code around st_print_frame() / exn_print_stack_trace(), but those deserve good refactoring all in all."
658276,x,,,,,,Thanks for raising these documentation issues! I just committed a fix.
1147203,x,,,,,,Thanks for the suggestion Raghu.  Let me try it.
1020463,,,,,,,"So there is another thing here, by deferring the evictions to the
background thread you increase the chance that the block will be
tenured then it must be collected from CMS space, thus radically
increasing the GC complexity of the cache.  Originally when the LRU
block cache came in, it made my collections 10x as slow until I
disabled the block cache for compactions.

Unfortunately all these micro-optimizations might be falling under the
GC wayside.


"
903886,,,,,,,"Committed to branch, thanks Eli"
455643,x,,,,,,"[~bikassaha] Thanks for the heads-up Bikas! This JIRA is not concerned with the Tez integration for Pig and is simply the abstraction in Pig to allow for alternate ExecutionEngines in Pig. But will certainly change this on the Tez integration side of stuff.

Thanks a lot [~cheolsoo] for continuing this! I think everything looks good from my end. I can certainly see why we may want to keep this on a different branch until everything is finalized. Certain things may still need more work. For example, OutputStats is not completed abstracted out, as it still has references to POStore which is a MR implementation construct. ScriptState/PPNL/JobStats may still need more abstraction (especially PPNL) and reworking to incorporate a new ExecutionEngine abstraction. I think what we have done here is the minimum foundation for an abstraction though, and it would be appropriate to put into trunk, but these are not my decisions to make. 

With regard to public methods that were changed, I don't think most of them are a big deal, besides as Cheolsoo said, the PigServer throwing PigException. I never thought IOException was a good exception to throw, but I think reverting PigServer back to IOException as it is userfacing code is not a big deal. The rest of the method signature changes shouldn't be worrisome because most of them are internal to the project. 

However, the change from JobStats to MRJobStats, while necessary (as each ExecutionEngine would have it's own type of JobStats it would present to the end user), could be problematic because it is userfacing code and would probably break people who were previously using JobStats. That I think is the most important thing to keep in mind. The task of making the PPNL and JobStats clearly tied to the ExecutionEngine should be thought through also."
1127962,x,,,,,,"I committed this. Thanks, Nicholas"
574543,,,,,x,,Sorry but I was running on the 1.1.1 branch. We will hopefully have a release out shortly (in a week or so) that should fix this issue. Although an example would still be helpful so we could add a cactus test that makes sure we don't reintroduce the problem.
1093332,x,,,,,,I committed the patch branch-1 also. Thank you Andy and Slavik.
1140705,,,,,,,+11 Group (including QA) agrees this is not something for 17.
1721806,x,,,,,,Committed. Thanks Hitesh!
213366,x,,,,,,"Patch applied, thanks!"
1558536,,,,,,,"bq. guess we need to supply a tool to rename sstables files if anyone is on longer names?

We probably don't need to do anything. I don't think anyone is really using names long enough for them to it the file system limit, the goal of limiting the names is just so to prevent this from happening but there will be no other assumption that the names are short from the code.

I also don't think anything will prevent rolling upgrades, do you had something in mind?

Note: I have a long flight ahead of me so I plan to update my last patch with both those changes, as I still like the moving of all the directories handling in a dedicated class, even if we don't support both layout."
823313,,,,,,,"Correction to the design of this feature (I can't edit comments because of permissions, so adding another comment). In case the seconds field needs more than 31 bit, the first VInt is {{-1-reversedDecimal}} regardless of whether {{reversedDecimal}} is zero or not."
1665384,x,,,,,,"I just committed this. Thanks for the reviews, Doug.

(BTW the last patch didn't include the removal of lang/java/mapred/src/main/java/org/apache/hadoop/io/SequenceFileBase.java, so I did that manually when I committed.)"
426155,,,,,,,A patch file is attached here to address these problems. Many files have been touched. Sorry for it. But I'm sure there are more files than these that have i18n problems. I'd like to dig more into it as soon as these critical ones are resolved.
736636,,,,,,,"Looks like this problem is bigger than I thought.  I can't even get a simple form without dot-stuffing to work.  Parsing this simple script:

require [""fileinto"", ""reject"", ""tag"", ""flag""];

# reply
if anyof (header :contains ""subject"" ""test reply"") {
    reply ""text:""
This is the first line
This is the second line
.
;
    stop;
}

results in

org.apache.jsieve.parser.generated.TokenMgrError: Lexical error at line 8, column 1.  Encountered: ""."" (46), after : """"
        at org.apache.jsieve.parser.generated.SieveParserTokenManager.getNextToken(SieveParserTokenManager.java:609)
        at org.apache.jsieve.parser.generated.SieveParser.getToken(SieveParser.java:625)
        at org.apache.jsieve.parser.generated.SieveParser.jjtreeOpenNodeScope(SieveParser.java:10)
"
208398,x,x,,,,,"this looks good, but a bunch of tests are now broken because of the new hidden input, I will fix the tests, do some more testing and commit in the next few days. thanks for the patch!"
389482,,x,,,x,,"John: first off, i want to apologize for the *extremely* belated patch review ... I know i told you i'd try to look at this months ago, but ... yeah ... life tends to get in the way of patches.

on the whole, things seem pretty good -- although you were still using an interface instead of an abstract class.  Having the main API for a type of plugin be an abstract class is an important mechanism to help future proof ourselves against possible additions we want to make the the plugin API in the future; if it's an interface we can't really change it once it's released (because we might break people Impls); if it's an abstract class, we can always provide a default impl for people.

the biggest concern i have about this patch at the moment is that there are no tests, and no example configs, so it's hard to be sure it's even working at all :)

here's what i see as the current todo list for this issue...

 1) there are some legacy SolrIndexSearcher constructors that need to delegate to the SolrCore to get indexReaderFactory ... perhaps we should have a helper method that decides which SolrIndexConfig to use based on the ""name"" ?
 2) we need tests showing custom IndexReaderFactory getting used (even if it's just a mock IndexReaderFactory thatsets a boolean to show it's being used) ... this will also serve as a test that config syntax works.
 3) need commented out example of using a custom indexReaderFactory in example/solr/conf/solrconfig.xml
 4) sanity check this against SOLR-465, make sure we aren't painting ourselves into a corner.
 5) we should make IndexReaderFactory use the AbstractPluginLoader stuff and remove the guts of SolrIndexConfig.loadIndexReaderFactory.  It looks like we'll need to add a ""single item"" version of load to the AbstractPluginLoader to make that work well.

#5 is something that can be done after this is committed, but 1-4 are pretty important.  If you can update the patch with some configs/tests i'll think about the legacy SolrIndexSearcher constructors and try to figure out a good solution for them
"
608690,x,,,,,,+1. Just committed this to trunk and branch-0.23. Thanks Jason!
1603870,,,,,x,,I meant the findbugs addon. Sorry for the confusion.
617995,x,,,,,,I just committed this to both trunk and MR-279. Thanks Jeffrey!
1692302,,,,,,,I mean keep purging that cache asset.
591879,,x,,,,,"+1, looks good. Checking this in."
457515,,,,,x,,"Sorry, I missed Bill's comment.

bq. We've seen similar exceptions when loading data that contains text with the column delimiter in it, which produces shorter than expected tuples. Could that be the case here?

I don't think that's the case here.  However, I've made many silly mistakes&misunderstandings in pig before.  Let me double check."
212846,x,,,,,,"If you ment this

<s:div id=""t4"" showLoadingText=""false"">
<s:form id=""form"" action=""AjaxTest"">
  <input type=textbox name=""data"">
  <s:submit type=""button"" theme=""ajax"" label=""Update Content"" targets=""t4""
id=""ajaxbtn""/>
</s:form>
</s:div>

it still doesn't post the form values in IE but works fine in FF

Thanks a lot for your quick response. I really really appreciate

-ravi





-- 
Ravi Mangalagiri
www.bluepitch.org (My personal website. Coming soon!)
703-505-4240 (c)
"
1616996,x,,,,,,"Thanks James, does the rest of the build work with this patch? Seems like this should work with the old RHEL5 toolchain but I didn't look closely.
"
1509174,,x,,,,,"Looks good, patch applied -- Thanks Naoki!"
1582476,x,,,,,,Thanks for the patch.
1720961,,x,,,,,+1 the patch looks good.
1679291,,,,,x,,"Regrettably I do not have a working instance of svn so I can't create a proper patch
I have attached the modified source file:

org.apache.tuscany.sca.assembly.builder.impl.CompositeWireBuilderImpl.java

I have commented the place where I modified a single line with:

// FIX FOR JIRA BUG: TUSCANY-1930"
373155,,,,,,,branch_3x: Committed revision 1003739.
1441645,,,,,,,Applied patch into trunk and cxf-2.2.x branch  with thanks to William.
1155851,,,,,x,,"Sorry, I didn't look at the package thoroughly enough. I now see that it can be used in the non-RPC cases also. "
866236,x,,,,,,"committed! to branch hadoop-eclipse-merge. Thanks Srimanth. 
"
1518373,,,,,,,"resovled, commits in comments"
1065887,x,,,,,,"Alexei, the patch has been applied as expected. You can close the issue, thanks."
1679277,,,,,,,Didn't make 1.1
181480,x,,,,,,Thanks Wei. I've committed your latest patch to SVN.
633282,,,,,,,Updating patch synch'ed with trunk.
1106546,,,,,,,this patch adds rule for hm and rs to the core-site template
695723,,,,x,,,"bq. Here's a patch for the general case, and it also adds a warning that you should set your similarity with Similarity.setDefault, especially if you omit norms. 

Is there no way to remove this stupid static default and deprecate Similarity.(g|s)etDefault()? Can we not use the Similarity from IndexWriter for the case of NormsWriter?"
1598066,,,,,,,Closing all resolved tickets from 2010 or older
1143704,,,,,,,"There are two sections of the diff that don't seem related:
{noformat}
@@ -178,7 +184,6 @@
     <mkdir dir=""${build.webapps}/job/WEB-INF""/>
     <mkdir dir=""${build.webapps}/dfs/WEB-INF""/>
     <mkdir dir=""${build.webapps}/datanode/WEB-INF""/>
-    <mkdir dir=""${build.webapps}/history/WEB-INF""/>
     <mkdir dir=""${build.examples}""/>
     <mkdir dir=""${build.anttasks}""/>
     <mkdir dir=""${build.dir}/c++""/>
@@ -274,13 +279,6 @@
     </jsp-compile>
 
     <jsp-compile
-     uriroot=""${src.webapps}/history""
-     outputdir=""${build.src}""
-     package=""org.apache.hadoop.mapred""
-     webxml=""${build.webapps}/history/WEB-INF/web.xml"">
-    </jsp-compile>
-
-    <jsp-compile
      uriroot=""${src.webapps}/datanode""
      outputdir=""${build.src}""
      package=""org.apache.hadoop.dfs""
{noformat}

This was part of HADOOP-2901, which was recently committed; the patch no longer applies cleanly. Could you regenerate it?"
