;;reject;;;;;;;
;;repel;;;;;;;
;;repellant;;;;;;;
;;repellent;;;;;;;
;;repugnant;;;;;;;
;;repulse;;;;;;;
;;repulsive;;;;;;;
;;repulsively;;;;;;;
;;resentful;;;;;;;
;;resentfully;;;;;;;
;;revengefully;;;;;;;
;;revolt;;;;;;;
;;revolting;;;;;;;
;;revoltingly;;;;;;;
;;rile;;;;;;;
;;riled;;;;;;;
;;roiled;;;;;;;
;;scorn;;;;;;;
;;see_red;;;;;;;
;;separated;;;;;;;
;;set-apart;;;;;;;
;;sick;;;;;;;
;;sick_of;;;;;;;
;;sicken;;;;;;;
;;sickening;;;;;;;
;;sickeningly;;;;;;;
;;sickish;;;;;;;
;;sore;;;;;;;
;;spiteful;;;;;;;
;;stew;;;;;;;
;;stung;;;;;;;
;;sulk;;;;;;;
;;sulky;;;;;;;
;;tantalize;;;;;;;
;;teasing;;;;;;;
;;tired_of;;;;;;;
;;torment;;;;;;;
;;turn_off;;;;;;;
;;umbrageous;;;;;;;
;;unfriendly;;;;;;;
;;vengefully;;;;;;;
;;vex;;;;;;;
;;vexatious;;;;;;;
;;vexed;;;;;;;
;;vexing;;;;;;;
;;vile;;;;;;;
;;vindictive;;;;;;;
;;vindictively;;;;;;;
;;wicked;;;;;;;
;;with_hostility;;;;;;;
;;wrathful;;;;;;;
;;wrathfully;;;;;;;
;;wroth;;;;;;;
;;wrothful;;;;;;;
;;yucky;;;;;;;
